Número de Ordem;Índice de Frequência;Quantidade de CNPJs Completos;CNAE;Vigencia
2.357,46;5,1216;1;80.11-1/01;2025
2.360,50;5,1265;1;80.11-1/01;2025
2.363,54;5,1271;1;80.11-1/01;2025
2.366,58;5,1337;1;80.11-1/01;2025
2.369,62;5,148;1;80.11-1/01;2025
2.372,66;5,1569;1;80.11-1/01;2025
2.375,70;5,1702;1;80.11-1/01;2025
2.378,75;5,178;1;80.11-1/01;2025
2.381,79;5,2083;1;80.11-1/01;2025
2.384,83;5,2225;1;80.11-1/01;2025
2.387,87;5,2603;1;80.11-1/01;2025
2.390,91;5,2968;1;80.11-1/01;2025
2.393,95;5,3061;1;80.11-1/01;2025
2.396,99;5,3381;1;80.11-1/01;2025
2.400,03;5,339;1;80.11-1/01;2025
2.403,07;5,3592;1;80.11-1/01;2025
2.406,11;5,3607;1;80.11-1/01;2025
2.409,16;5,3751;1;80.11-1/01;2025
2.412,20;5,387;1;80.11-1/01;2025
2.415,24;5,392;1;80.11-1/01;2025
2.418,28;5,3993;1;80.11-1/01;2025
2.421,32;5,4663;1;80.11-1/01;2025
2.424,36;5,4798;1;80.11-1/01;2025
2.427,40;5,5075;1;80.11-1/01;2025
2.430,44;5,5085;1;80.11-1/01;2025
2.433,48;5,5338;1;80.11-1/01;2025
2.436,52;5,5479;2;80.11-1/01;2025
2.442,61;5,5638;1;80.11-1/01;2025
2.445,65;5,5691;1;80.11-1/01;2025
2.448,69;5,5918;1;80.11-1/01;2025
2.451,73;5,6062;1;80.11-1/01;2025
2.454,77;5,6304;1;80.11-1/01;2025
2.457,81;5,6448;1;80.11-1/01;2025
2.460,85;5,6652;1;80.11-1/01;2025
2.463,89;5,6884;1;80.11-1/01;2025
2.466,93;5,759;1;80.11-1/01;2025
2.469,98;5,7728;1;80.11-1/01;2025
2.473,02;5,7776;1;80.11-1/01;2025
2.476,06;5,7938;1;80.11-1/01;2025
2.479,10;5,8059;1;80.11-1/01;2025
2.482,14;5,8537;1;80.11-1/01;2025
2.485,18;5,8551;1;80.11-1/01;2025
2.488,22;5,8643;1;80.11-1/01;2025
2.491,26;5,8665;1;80.11-1/01;2025
2.494,30;5,9194;1;80.11-1/01;2025
2.497,34;5,9394;1;80.11-1/01;2025
2.500,39;5,9475;1;80.11-1/01;2025
2.503,43;5,948;1;80.11-1/01;2025
2.506,47;5,9701;1;80.11-1/01;2025
2.509,51;5,9806;1;80.11-1/01;2025
2.512,55;5,9849;1;80.11-1/01;2025
2.515,59;5,997;1;80.11-1/01;2025
2.518,63;6,0049;1;80.11-1/01;2025
2.521,67;6,015;1;80.11-1/01;2025
2.524,71;6,0332;1;80.11-1/01;2025
2.527,75;6,0393;1;80.11-1/01;2025
2.530,80;6,0553;1;80.11-1/01;2025
2.533,84;6,0829;1;80.11-1/01;2025
2.536,88;6,0945;1;80.11-1/01;2025
2.539,92;6,1038;1;80.11-1/01;2025
2.542,96;6,1267;1;80.11-1/01;2025
2.546,00;6,1303;1;80.11-1/01;2025
2.549,04;6,1537;1;80.11-1/01;2025
2.552,08;6,157;1;80.11-1/01;2025
2.555,12;6,166;1;80.11-1/01;2025
2.558,16;6,1846;1;80.11-1/01;2025
2.561,20;6,2192;1;80.11-1/01;2025
2.564,25;6,233;1;80.11-1/01;2025
2.567,29;6,2399;1;80.11-1/01;2025
2.570,33;6,2402;1;80.11-1/01;2025
2.573,37;6,2666;1;80.11-1/01;2025
2.576,41;6,3408;1;80.11-1/01;2025
2.579,45;6,3458;1;80.11-1/01;2025
2.582,49;6,3517;1;80.11-1/01;2025
2.585,53;6,3542;1;80.11-1/01;2025
2.588,57;6,4154;1;80.11-1/01;2025
2.591,61;6,4167;1;80.11-1/01;2025
2.594,66;6,4447;1;80.11-1/01;2025
2.597,70;6,4533;1;80.11-1/01;2025
2.600,74;6,4865;1;80.11-1/01;2025
2.603,78;6,5023;1;80.11-1/01;2025
2.606,82;6,5023;1;80.11-1/01;2025
2.609,86;6,5049;1;80.11-1/01;2025
2.612,90;6,5167;1;80.11-1/01;2025
2.615,94;6,5817;1;80.11-1/01;2025
2.618,98;6,6302;1;80.11-1/01;2025
2.622,02;6,6459;1;80.11-1/01;2025
2.625,07;6,651;1;80.11-1/01;2025
2.628,11;6,6667;1;80.11-1/01;2025
2.631,15;6,6759;1;80.11-1/01;2025
2.634,19;6,6797;1;80.11-1/01;2025
2.637,23;6,708;1;80.11-1/01;2025
2.640,27;6,7095;1;80.11-1/01;2025
2.643,31;6,717;1;80.11-1/01;2025
2.646,35;6,7701;1;80.11-1/01;2025
2.649,39;6,7765;1;80.11-1/01;2025
2.652,43;6,9098;1;80.11-1/01;2025
2.655,48;6,9279;1;80.11-1/01;2025
2.658,52;6,9666;1;80.11-1/01;2025
2.661,56;6,9717;1;80.11-1/01;2025
2.664,60;6,9747;1;80.11-1/01;2025
2.667,64;6,9971;1;80.11-1/01;2025
2.670,68;6,9991;1;80.11-1/01;2025
2.673,72;7,0288;1;80.11-1/01;2025
2.676,76;7,0361;1;80.11-1/01;2025
2.679,80;7,0505;1;80.11-1/01;2025
2.682,84;7,0584;1;80.11-1/01;2025
2.685,89;7,068;1;80.11-1/01;2025
2.688,93;7,0776;1;80.11-1/01;2025
2.691,97;7,1413;1;80.11-1/01;2025
2.695,01;7,1514;1;80.11-1/01;2025
2.698,05;7,242;1;80.11-1/01;2025
2.701,09;7,261;1;80.11-1/01;2025
2.704,13;7,3171;1;80.11-1/01;2025
2.707,17;7,3473;1;80.11-1/01;2025
2.710,21;7,3823;1;80.11-1/01;2025
2.713,25;7,4303;1;80.11-1/01;2025
2.716,30;7,4906;1;80.11-1/01;2025
2.719,34;7,4959;1;80.11-1/01;2025
2.722,38;7,5282;2;80.11-1/01;2025
2.728,46;7,5567;1;80.11-1/01;2025
2.731,50;7,5924;1;80.11-1/01;2025
2.734,54;7,5997;1;80.11-1/01;2025
2.737,58;7,6384;1;80.11-1/01;2025
2.740,62;7,6555;1;80.11-1/01;2025
2.743,66;7,6677;1;80.11-1/01;2025
2.746,70;7,7022;1;80.11-1/01;2025
2.749,75;7,7162;1;80.11-1/01;2025
2.752,79;7,7419;1;80.11-1/01;2025
2.755,83;7,7532;1;80.11-1/01;2025
2.758,87;7,7947;1;80.11-1/01;2025
