Número de Ordem;Índice de Gravidade;Quantidade de CNPJs Completos;CNAE;Vigencia
2.287,52;0,5178;1;80.11-1/01;2025
2.290,56;0,5208;1;80.11-1/01;2025
2.293,60;0,526;1;80.11-1/01;2025
2.296,64;0,5297;1;80.11-1/01;2025
2.299,68;0,5306;1;80.11-1/01;2025
2.302,72;0,5335;1;80.11-1/01;2025
2.305,76;0,5338;1;80.11-1/01;2025
2.308,80;0,5359;1;80.11-1/01;2025
2.311,84;0,5361;1;80.11-1/01;2025
2.314,89;0,5375;1;80.11-1/01;2025
2.317,93;0,5387;1;80.11-1/01;2025
2.320,97;0,5392;1;80.11-1/01;2025
2.324,01;0,5399;1;80.11-1/01;2025
2.327,05;0,5474;1;80.11-1/01;2025
2.330,09;0,5508;1;80.11-1/01;2025
2.333,13;0,5534;1;80.11-1/01;2025
2.336,17;0,5548;2;80.11-1/01;2025
2.342,25;0,5564;1;80.11-1/01;2025
2.345,30;0,5569;1;80.11-1/01;2025
2.348,34;0,5592;1;80.11-1/01;2025
2.351,38;0,5606;1;80.11-1/01;2025
2.354,42;0,5616;1;80.11-1/01;2025
2.357,46;0,5617;1;80.11-1/01;2025
2.360,50;0,5626;1;80.11-1/01;2025
2.363,54;0,5629;1;80.11-1/01;2025
2.366,58;0,563;1;80.11-1/01;2025
2.369,62;0,5645;1;80.11-1/01;2025
2.372,66;0,5656;1;80.11-1/01;2025
2.375,70;0,5665;1;80.11-1/01;2025
2.378,75;0,5759;1;80.11-1/01;2025
2.381,79;0,5778;1;80.11-1/01;2025
2.384,83;0,5806;1;80.11-1/01;2025
2.387,87;0,5854;1;80.11-1/01;2025
2.390,91;0,5855;1;80.11-1/01;2025
2.393,95;0,5864;1;80.11-1/01;2025
2.396,99;0,5867;1;80.11-1/01;2025
2.400,03;0,5871;1;80.11-1/01;2025
2.403,07;0,5919;1;80.11-1/01;2025
2.406,11;0,5939;1;80.11-1/01;2025
2.409,16;0,5941;1;80.11-1/01;2025
2.412,20;0,5947;1;80.11-1/01;2025
2.415,24;0,5948;1;80.11-1/01;2025
2.418,28;0,597;1;80.11-1/01;2025
2.421,32;0,5981;1;80.11-1/01;2025
2.424,36;0,5985;1;80.11-1/01;2025
2.427,40;0,5995;1;80.11-1/01;2025
2.430,44;0,5997;1;80.11-1/01;2025
2.433,48;0,6005;1;80.11-1/01;2025
2.436,52;0,6015;1;80.11-1/01;2025
2.439,57;0,6033;1;80.11-1/01;2025
2.442,61;0,6039;1;80.11-1/01;2025
2.445,65;0,6055;1;80.11-1/01;2025
2.448,69;0,6083;1;80.11-1/01;2025
2.451,73;0,6094;1;80.11-1/01;2025
2.454,77;0,6104;1;80.11-1/01;2025
2.457,81;0,6112;1;80.11-1/01;2025
2.460,85;0,6127;1;80.11-1/01;2025
2.463,89;0,613;1;80.11-1/01;2025
2.466,93;0,6154;1;80.11-1/01;2025
2.469,98;0,6157;1;80.11-1/01;2025
2.473,02;0,6166;1;80.11-1/01;2025
2.476,06;0,6185;1;80.11-1/01;2025
2.479,10;0,6219;1;80.11-1/01;2025
2.482,14;0,6229;1;80.11-1/01;2025
2.485,18;0,6233;1;80.11-1/01;2025
2.488,22;0,624;1;80.11-1/01;2025
2.491,26;0,6287;1;80.11-1/01;2025
2.494,30;0,6341;1;80.11-1/01;2025
2.497,34;0,6346;1;80.11-1/01;2025
2.500,39;0,6352;1;80.11-1/01;2025
2.503,43;0,6354;1;80.11-1/01;2025
2.506,47;0,6355;1;80.11-1/01;2025
2.509,51;0,638;1;80.11-1/01;2025
2.512,55;0,6415;1;80.11-1/01;2025
2.515,59;0,6417;1;80.11-1/01;2025
2.518,63;0,6445;1;80.11-1/01;2025
2.521,67;0,6451;1;80.11-1/01;2025
2.524,71;0,6453;1;80.11-1/01;2025
2.527,75;0,6486;1;80.11-1/01;2025
2.530,80;0,6502;1;80.11-1/01;2025
2.533,84;0,6502;1;80.11-1/01;2025
2.536,88;0,6505;1;80.11-1/01;2025
2.539,92;0,6517;1;80.11-1/01;2025
2.542,96;0,6582;1;80.11-1/01;2025
2.546,00;0,6651;1;80.11-1/01;2025
2.549,04;0,6667;1;80.11-1/01;2025
2.552,08;0,6676;1;80.11-1/01;2025
2.555,12;0,668;1;80.11-1/01;2025
2.558,16;0,6708;1;80.11-1/01;2025
2.561,20;0,671;1;80.11-1/01;2025
2.564,25;0,6717;1;80.11-1/01;2025
2.567,29;0,677;1;80.11-1/01;2025
2.570,33;0,6825;1;80.11-1/01;2025
2.573,37;0,691;1;80.11-1/01;2025
2.576,41;0,6928;1;80.11-1/01;2025
